,Unnamed: 0,smiles,eib,bandgap_chain,bandgap_crystal
468,468,[*]CC([*])(C)C(=O)Oc1ccccc1,3.970261242,5.344,4.8118
471,471,[*]CC([*])(C)C(=O)OCCc1ccccc1,4.309645151,5.6532,4.9946
476,476,[*]CC([*])(C)C(=O)OCC(F)(F)F,,6.6593,6.3398
477,477,[*]CC([*])(C)C(=O)OCC(F)(F)C(F)F,,6.2786,5.3983
479,479,[*]CC([*])(C)C(=O)OC(C(F)(F)F)C(F)(F)F,2.575495691,6.0249,5.3218
480,480,[*]CC([*])(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,2.920501628,6.1224,6.1125
487,487,[*]CC([*])(C)C(=O)OCCOCC,,6.3843,5.9514
496,496,[*]CC([*])C(N)=O,4.040519524,6.1879,6.3764
504,504,[*]CC([*])C(=O)OC(CC)CC,,6.5156,6.2722
525,525,[*]CC([*])C(=O)OCF,3.564052551,6.6724,6.1736
530,530,[*]CC([*])C(=O)OCCCCSC,,4.7854,5.1007
531,531,[*]CC([*])C(=O)OCCCSCC,,4.6018,5.1212
580,580,[*]CC([*])(C)C(=O)OCCC#N,,6.2488,6.2508
613,613,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,6.7568,6.0236
633,633,[*]CC([*])(C#N)C(=O)OCC,,6.5116,6.1989
661,661,[*]CCC(C(=O)OC)C([*])C(=O)OC,,6.5207,6.3252
664,664,[*]CC([*])(C#N)C(=O)OC(C)C,,6.4652,5.8301
668,668,[*]C1C(=O)OC(=O)C1[*],2.175723291,6.3511,6.0081
685,685,[*]CCC(F)(F)C([*])(F)Cl,3.866704043,7.6185,7.4828
687,687,[*]CC([*])(Br)Br,2.335650934,4.9377,4.6615
704,704,[*]C(F)(F)C1(F)C(F)(F)C([*])(F)C(F)(F)C1(F)F,2.378878302,7.0615,6.9544
705,705,[*]C(Cl)=C(Cl)C(Cl)(Cl)C([*])(Cl)Cl,2.359297157,4.2995,3.2001
708,708,[*]CCC(Cl)C([*])Cl,4.266694523,6.5894,6.4523
709,709,[*]C=CC(C[*])(C(F)(F)F)C(F)(F)F,3.018947817,5.9378,5.7329
714,714,[*]C=CC(C[*])CCC,,5.7643,5.7469
715,715,[*]C1C=CC([*])CC1,3.847582879,5.5013,5.4843
724,724,[*]C=CC(C)C([*])C(=O)OCCCC,,4.9412,5.4974
728,728,[*]CO[*],2.936874936,6.6201,7.1211
735,735,[*]OC([*])CCC#N,3.45139683,7.2521,6.9611
739,739,[*]CC(C)O[*],,5.7371,6.9903
742,742,[*]CC(CBr)O[*],3.626811481,6.0732,5.4664
771,771,[*]OC(F)(F)C([*])(F)F,4.426752075,9.8351,10.1137
818,818,[*]Oc1ccc(SSCCCCCCCCCCSSc2ccc([*])cc2)cc1,,3.9858,4.2235
972,972,[*]OC(F)(F)C(F)(F)C(F)(F)C([*])(F)F,3.517156839,8.8881,8.7307
976,976,[*]CC(C)CO[*],,5.99,7.3501
1085,1085,[*]CC1CC1CO[*],4.252164249,6.058,6.9566
1108,1108,[*]CCOCCOCCOC(=O)CCCCCC(=O)O[*],,6.197,5.5157
1109,1109,[*]CCOCCOCCOC(=O)CCCCCCC(=O)O[*],,5.8894,6.184
1140,1140,[*]CCOCCOC(=O)CCCCS(=O)(=O)CCCCC(=O)O[*],,6.5382,5.7504
1213,1213,[*]ON(C(F)(F)F)C(F)(C([*])(F)F)C(F)(F)F,3.438041035,6.9062,7.0955
1275,1275,[*]C1(F)OC(C(F)(F)F)(C(F)(F)Cl)OC1([*])F,3.9655815,7.9372,7.8208
1276,1276,[*]C1OC(C(F)(F)F)(C(F)(F)F)OC1([*])F,4.087165822,7.8893,8.0982
1400,1400,[*]CS[*],3.796910578,5.2585,4.8805
1401,1401,[*]SC([*])(F)F,2.328388624,5.6458,5.4099
1434,1434,[*]CCCCCCSSCCCCSS[*],,4.5658,4.2836
1448,1448,[*]CCOC(=O)NCCSCCCCSCCNC(=O)O[*],,5.1021,5.1094
1459,1459,[*]CCCCCCOC(=O)NCCSCCSCCNC(=O)O[*],,5.2784,4.7777
1461,1461,[*]CCCCCCOC(=O)NCCSCCCCCSCCNC(=O)O[*],,4.8597,5.1327
1468,1468,[*]SC1CCCC([*])C1,3.978180478,5.0122,5.2199
1470,1470,[*]CC1CCC(COC(=O)NCCSCCCSCCNC(=O)O[*])CC1,,5.2711,5.0712
1472,1472,[*]CC1CCC(COC(=O)NCCSCCCCCSCCNC(=O)O[*])CC1,,5.0201,5.4414
1478,1478,[*]Sc1ccc([*])cc1,2.832038396,3.6929,3.387
1480,1480,[*]Cc1ccc(CSSSS[*])cc1,2.447794714,4.0998,3.591
1496,1496,[*]CCc1ccc(Cc2ccc(CCS[*])cc2)cc1,3.660169448,4.8714,4.3552
1537,1537,[*]CCCC1CCN(C(=O)SSCCCCSSC(=O)N2CCC([*])CC2)CC1,,4.759,4.297
1565,1565,[*]CCCCCCCCCCOC(=O)CCC(=O)O[*],,6.569,6.6201
1570,1570,[*]CCCCCCCCCCOC(=O)CCCCC(=O)O[*],,6.5098,6.718
1573,1573,[*]CCCOC(=O)CCCCCCC(=O)O[*],,6.8719,6.4907
1600,1600,[*]CCCCCC(=O)S[*],,5.3468,5.0001
1628,1628,[*]CCCCCCCCCCCC(=O)O[*],,6.629,6.8377
1636,1636,[*]CCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCC(=O)O[*],,6.5222,6.0542
1655,1655,[*]CC(C)C(C)COC(=O)c1ccc(C(=O)O[*])cc1,1.670494282,4.7188,4.2335
1657,1657,[*]CC(CCC)C(CCC)COC(=O)c1ccc(C(=O)O[*])cc1,,4.8023,4.4708
1692,1692,[*]CCC(=O)O[*],,7.0157,6.6114
1695,1695,[*]CC(C)(C)C(=O)O[*],3.972525032,6.7827,6.7185
1697,1697,[*]CC(C)(CC)C(=O)O[*],,6.4809,6.5912
1699,1699,[*]CC(C)C(=O)O[*],,6.562,6.5897
1705,1705,[*]CCCOC(=O)CCCCCCCCCCC(=O)O[*],,6.4712,6.3683
1711,1711,[*]OC(c1ccc(OC)cc1)C(C)(C)C([*])=O,3.943345419,4.5448,4.5832
1717,1717,[*]CC1CCC(COC(=O)C2CCC(C(=O)O[*])CC2)CC1,,6.5261,6.4924
1728,1728,[*]CC1CC1COC(=O)c1cccc(C(=O)O[*])c1,2.367701426,5.001,4.4908
1771,1771,[*]OC(C)COC(=O)CCCCC([*])=O,,6.5294,6.5974
1774,1774,[*]CCOC(=O)C1CCC(C(=O)O[*])CC1,,6.5261,6.4481
1830,1830,[*]CC(CCl)(CCl)C(=O)O[*],3.271970378,6.538,6.1969
1840,1840,[*]SC(C)C([*])=O,3.796046311,4.1741,3.8079
1861,1861,[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)CCCCC(=O)O[*],,6.5793,6.2672
1932,1932,[*]CC(C)(C)COC(=O)CCCCC(=O)O[*],,6.6524,6.5878
1953,1953,[*]OC(C)CCOC(=O)CCCCS(=O)(=O)CCCCC([*])=O,,6.4951,6.2709
1992,1992,[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)CCCC(=O)O[*],,6.7542,5.7563
2004,2004,[*]CCCCOC(=O)C1CCC(C(=O)O[*])CC1,,6.541,6.5835
2057,2057,[*]OC(C)COC(=O)CCCCS(=O)(=O)CCCCC([*])=O,3.547238098,6.5041,6.4017
2138,2138,[*]CCCCCC(=O)N[*],,6.0265,6.4774
2144,2144,[*]CCCCCCNC(=O)CCCCCCCCCCC(=O)N[*],,5.7331,6.3994
2181,2181,[*]CC1CCC(CNC(=O)c2cc(C(=O)N[*])cc(C(C)(C)C)c2)CC1,3.784980581,4.7735,5.1615
2203,2203,[*]CCC(C)C(C)CCNC(=O)c1cccc(C(=O)N[*])c1,,4.9153,4.7199
2362,2362,[*]Nc1ccc(C([*])=O)cc1,,3.7058,2.6498
2392,2392,[*]CCCCCCCCCCCNC(=O)c1ccc(C(=O)N[*])cc1,3.20055678,4.852,4.214
2402,2402,[*]CC1CCC(CNC(=O)CCCCCC(=O)N[*])CC1,,5.7688,5.2823
2471,2471,[*]NC(C)C(=O)NCC(=O)NCC(=O)NCC([*])=O,,5.7751,5.4756
2512,2512,[*]C(=O)c1ccc(C(=O)N2CCN([*])CC2)cc1,,4.6749,4.7036
2566,2566,[*]NC1CCCC1C([*])=O,4.01101874,5.8081,6.4002
2597,2597,[*]NNC(=O)C(=O)NNC(=O)CCCCCCCC([*])=O,,4.5339,3.7266
2642,2642,[*]CCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N[*],,5.8003,6.2733
2665,2665,[*]CCCNC(=O)CCCCCCCC(=O)NCCCNC(=O)C(=O)N[*],,4.6754,4.6809
2693,2693,[*]Nc1ccc(-c2ccc(NC(=O)c3cc(C([*])=O)cc(S(=O)(=O)c4ccccc4)c3)cc2)cc1,,3.1725,2.4795
2718,2718,[*]CCOC(=O)NCCCCCCCCCCNC(=O)O[*],,6.1704,6.6421
2729,2729,[*]CCCCCCOC(=O)NCCCNC(=O)O[*],3.973422645,6.1264,6.5954
2749,2749,[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O[*],4.194372575,6.7502,6.4326
2756,2756,[*]CC1CC1COC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,3.664975453,5.1055,4.7181
2805,2805,[*]C(=O)OCC(C)(C)COC(=O)N1CCN([*])CC1,,5.5303,6.4401
2808,2808,[*]CC(C)(C)COC(=O)Nc1ccc(NC(=O)O[*])cc1,,5.0845,4.4894
2810,2810,[*]C(=O)OCCCCOC(=O)N1CCN([*])CC1,3.572531861,5.6801,6.4265
2817,2817,[*]CCOC(=O)Nc1ccc(C(C)(C)c2ccc(NC(=O)O[*])cc2)cc1,3.256443787,4.5782,4.3346
2820,2820,[*]C(=O)OC1CCC(OC(=O)N2CCN([*])CC2)CC1,3.807298589,5.8826,6.2573
2842,2842,[*]CCCCCOC(=O)NC(=O)C1CC1C(=O)NC(=O)O[*],,6.0591,5.4301
2902,2902,[*]c1ccc(Sc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,0.650740645,2.4894,2.3234
3219,3219,[*]OC(=O)CCCCCCCCCCCCC([*])=O,,6.1871,5.2681
3233,3233,[*]OC1C(C)(C)C(OC([*])=O)C1(C)C,4.06772562,6.1846,6.9495
3368,3368,[*]c1cccc(-c2nc3cc4nc([*])c(-c5ccccc5)nc4cc3nc2-c2ccccc2)c1,1.303101527,2.9601,1.9959
3451,3451,[*]N=P([*])(Cl)Cl,2.508617631,3.5076,3.4406
3507,3507,[*]CCc1cc(Cl)c([*])cc1Cl,2.993814334,4.7791,4.8608
3532,3532,[*]c1ccc([*])c(O)c1,2.945713524,5.0766,2.8315
3546,3546,[*]CCC1CC([*])C2CCCC12,,6.7458,7.4997
3564,3564,[*]C1C2CC(C)C(C2)C1[*],4.214500092,6.0902,6.7713
3569,3569,[*]CCC1CC([*])C2C3CC(CC)C(C3)C12,,6.6591,7.528
3570,3570,[*]CCC1CCC([*])C1,,7.0987,7.9915
3589,3589,[*]CC([*])c1ccc(S(=O)(=O)O)cc1,1.913045255,3.9424,2.9445
3717,3717,[*]CC([*])OC(=O)OCC(F)(F)F,4.161256355,7.6731,7.9003
3728,3728,[*]C=CC1=C(O)C(O)=C([*])C1,1.443042045,1.3602,0.8286
3730,3730,[*]C=C([*])C#N,-1.233998281,0.9111,0.5068
3773,3773,[*]CCCC([*])C#N,3.848198595,7.8416,7.4859
3780,3780,[*]CC([*])(Cl)C#N,2.001272298,6.3216,5.8652
3795,3795,[*]C=CC(C)(C)CC(C#N)C[*],4.100070369,6.2683,5.2738
3803,3803,[*]C(I)=C([*])I,2.19209346,3.6353,2.7328
3824,3824,[*]C=C([*])c1ccsc1,4.065930476,4.888,3.1293
3835,3835,[*]CC([*])CO,3.663755668,5.9849,7.4192
3843,3843,[*]C=C([*])C(C)=O,2.279624566,3.9029,2.1853
3851,3851,[*]C#CC(=C([*])c1cnc2ccccc2c1)c1cnc2ccccc2c1,0.873919158,0.7215,0.5725
3876,3876,[*]CC([*])C1=NCCN1,5.0319733,4.7412,5.3283
3883,3883,[*]C=CC1CC([*])C(C#N)(CC)C1,,6.074,5.5315
3884,3884,[*]C=CC1CC([*])C(C#N)(CCC)C1,,6.027,5.8705
3938,3938,[*]C=CC1CC([*])C(C(=O)OCCNC(C)(C)C)C1,,5.2839,4.7904
4004,4004,[*]CC([*])C(=O)NCCC,,5.8667,6.5449
4079,4079,[*]CC(OCC)C(C#N)(C#N)C([*])(C#N)C(=O)OC,,5.3554,5.4071
4087,4087,[*]CC([*])C(=O)NCCO,,4.7977,5.7124
4225,4225,[*]CC([*])(C)C(=O)OC1(C)CCOC(=O)C1,,5.9519,5.9976
4285,4285,[*]CC([*])(C)C(=O)OCCC1CCCCC1,,6.4739,6.5993
4324,4324,[*]CC([*])C(=O)Nc1ccccc1Cl,,4.7629,4.2427
4345,4345,[*]CC([*])(C)C(=O)OCC(=O)N1CCCC1,,5.1568,5.3385
4457,4457,[*]CCCCCCC(Cl)C([*])Cl,,6.8597,6.7965
4463,4463,[*]C(F)(F)C1(F)C(F)(F)C([*])(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,2.883180373,7.0703,7.543
4466,4466,[*]CCCCCCCCC([*])Cl,,7.0727,6.86
4484,4484,[*]C=CC1CC([*])C2CC=CC12,,5.3897,5.6741
4492,4492,[*]C#CC=C[*],0.533906286,1.2297,1.3369
4498,4498,[*]c1ccc2c(c1)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc([*])ccc1-2,,3.9003,2.85
4507,4507,[*]C=CC1CC([*])C2C3CCC(C3)C12,4.340400007,5.1878,5.7656
4593,4593,[*]OC([*])CCl,4.044539688,7.2652,7.1982
4684,4684,[*]ON(C(F)(F)F)C(F)(Cl)C([*])(F)F,2.908695755,6.311,6.6835
4781,4781,[*]OC(F)(F)C(F)(F)C([*])(F)F,3.929099729,9.3031,9.1214
5185,5185,[*]Oc1cccc(Oc2cccc([*])n2)c1,2.861516784,4.5072,3.8579
5625,5625,[*]OC(=O)OC1COC2C([*])COC12,3.576593551,6.8154,6.6786
6175,6175,[*]OC(=O)OCCCCCCCCCCOC(=O)OC1COC2C([*])COC12,,6.4724,6.1689
6176,6176,[*]OC(=O)OCCOCCOC(=O)OC1COC2C([*])COC12,,6.7043,6.5378
6444,6444,[*]c1cnc([*])s1,0.906465116,1.8622,1.7987
6477,6477,[*]c1ccc(-c2ccc(-c3ccc(-c4ccc([*])n4CCCCCCCCCCCC)s3)s2)s1,2.048656942,2.0944,2.1442
6593,6593,[*]Sc1c(F)c(F)c([*])c(F)c1F,,2.1722,3.6361
6612,6612,[*]c1cccc(-c2ccc(-c3ccc([*])s3)s2)n1,2.286891913,3.2272,2.0464
6636,6636,[*]c1cc(C#N)c([*])s1,0.496755555,1.6457,1.0894
6638,6638,[*]C=c1ccc(=c2ccc(=Cc3ccc([*])s3)s2)s1,,0.6103,1.224
6699,6699,[*]c1cc2c(s1)-c1sc([*])cc1C2CCCCCCN,1.943634471,2.0844,1.3223
6735,6735,[*]c1cc(-c2sc(-c3cc(C)c([*])s3)cc2C)c2cccccc1-2,1.947637719,1.8844,1.3327
6946,6946,[*]CCCCCOC(=O)CC(=O)O[*],,6.5739,6.4679
6989,6989,[*]OC(CC(C)C)C([*])=O,,6.0332,5.8529
7017,7017,[*]Oc1ccc(C2(c3ccc(OC(=O)c4cccc(C([*])=O)c4)c(C)c3)c3ccccc3-c3ccccc32)cc1C,,3.5452,3.0176
7054,7054,[*]OC(CC([*])=O)C1CO1,,6.7174,6.1493
7076,7076,[*]OC(CCCCCCC=C)CC([*])=O,,6.0438,5.5852
7154,7154,[*]CCC(C)CC(=O)O[*],3.757759667,6.7476,6.7489
7219,7219,[*]SC([*])=S,0.560102226,2.1529,1.7109
7339,7339,[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2)cc1C1CCCCCCC1,,3.657,3.1917
7354,7354,[*]CCOC(=O)C1C2C=CC(C2)C1C(=O)O[*],3.904108949,5.7712,5.3661
7737,7737,[*]Nc1ccc(Cc2ccc(NC(=O)c3cc(C([*])=O)cc(N4C(=O)C=CC4=O)c3)cc2)cc1,,2.0132,2.0738
7884,7884,[*]Nc1ccc(Br)cc1-c1ccc(NC(=O)c2ccc(C([*])=O)cc2)cc1,1.949999181,3.5352,2.9894
7993,7993,[*]Nc1ccc(NC(=O)c2cc(NC(=O)c3ccncc3)cc(C([*])=O)c2)cc1,,3.6492,2.9949
8400,8400,[*]CCCCCNC(=S)N[*],3.36669956,4.2484,4.3365
9484,9484,[*]C=CC1CC([*])C2C(=O)N(CCCCCCCCC)C(=O)C12,,5.346,5.104
10120,10120,[*]Oc1c(Cl)cc(C2(c3cc(Cl)c(OC([*])=O)c(Cl)c3)CC3CCC2C3)cc1Cl,,4.7964,4.6838
10173,10173,[*]OC1CCC(OC(=O)OCCCCCOC([*])=O)CC1,,6.9925,6.0614
10174,10174,[*]OC1CCC(OC(=O)OCCCCCCOC([*])=O)CC1,,7.1388,7.0127
10186,10186,[*]Oc1ccc(C(CC)c2ccc(OC([*])=O)cc2)cc1,,4.9315,4.7325
10314,10314,[*]Nc1nc([*])nc(Cl)n1,2.111127234,4.4835,4.2584
10558,10558,[*]C=Cc1ccc([*])n1CCCCCC,2.455482844,1.5933,1.3683
10680,10680,[*]c1ccc([*])n1CCC(=O)OC(C)C(=O)OCC,,2.0323,2.05
10949,10949,[*]C(C#N)=C(c1ccccc1)c1ccc([*])cc1,2.538652987,3.8129,2.5883
10969,10969,[*]c1c(F)c(F)c([*])c(F)c1F,2.260571228,5.5133,3.0457
11119,11119,[*]CC([*])(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.755117625,6.2233,5.7714
11120,11120,[*]CC([*])(F)C#N,2.498908263,7.624,7.0615
11128,11128,[*]CC([*])(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,3.000495623,6.6812,6.2862
11276,11276,CC(=S)CC(=S),1.298660786,2.6402,2.4504
11296,11296,[*]CNCN[*],3.04868307,5.1891,6.3053
11308,11308,[*]CNON[*],3.106098544,5.423,5.6289
11338,11338,C(=O)C(=S)OC(=S),0.236835246,2.456,1.8121
11342,11342,[*]C(=O)OC(=O)O[*],2.183509181,5.27,5.645
11389,11389,[*]NC(=O)NC(=O)[*],2.586731448,4.0437,3.657
11391,11391,[*]NC(=O)NO[*],2.105676747,5.554,4.7317
11401,11401,[*]NC(=S)NC(=S)[*],0.589527657,2.8092,2.3647
11406,11406,[*]NOC(=S)O[*],1.538409552,4.6294,3.9632
11464,11464,C(F)(F)C(=O)C(F)(F)C(=O),0.062050816,4.0888,4.1205
11471,11471,C(F)(F)NC(F)(F)N,4.222094193,8.3664,8.7968
11473,11473,[*]C(C#N)C(C#N)(C#N)[*],1.362747038,6.6373,5.8992
11474,11474,[*]CC(C#N)(C#N)[*],2.236798205,7.4643,6.9314
11475,11475,[*]CC(C#N)(C#N)C(C#N)C(C#N)(C#N)[*],1.704343642,7.1417,6.2447
11476,11476,[*]CC(C#N)(C#N)C(C#N)C(C#N)(C#N)C(C#N)C(C#N)(C#N)[*],1.849544905,6.6115,6.2667
11477,11477,[*]CC(C#N)(C#N)C(C#N)C(C#N)(C#N)C(C#N)C(C#N)(C#N)C(C#N)C(C#N)(C#N)[*],1.505201402,6.505,5.9056
11478,11478,[*]CC(C#N)(C#N)CC(C#N)(C#N)C(C#N)C(C#N)(C#N)[*],2.021435996,6.9871,6.5308
11479,11479,[*]CC(C#N)(C#N)CC(C#N)(C#N)CC(C#N)(C#N)C(C#N)C(C#N)(C#N)[*],2.231511008,7.044,6.4504
13019,13019,[*]CC([*])CNc1ccc([N+](=O)[O-])cn1,,3.4829,3.0852
13038,13038,[*]OC(c1cccc([N+](=O)[O-])c1)C(C)(C)C([*])=O,1.423136119,4.5099,3.7458
13045,13045,[*]NC(C)C(=O)NC(C([*])=O)C(C)C,3.573938995,5.8554,5.8867
13182,13182,[*]CC(C[N-][N+]#N)(C[N-][N+]#N)CO[*],3.222494212,5.1641,4.4086
